lemma,subset,n_occurrences,n_senses,gold_k,n_visual_anchors,anchor_wnids,retained_senses
day,text_only,321,5,5,0,,day.n.01;day.n.02;day.n.03;day.n.04;day.n.05
death,text_only,103,4,4,0,,death.n.01;death.n.02;death.n.03;death.n.04
degree,text_only,53,3,3,0,,academic_degree.n.01;degree.n.01;degree.n.02
depth,text_only,40,2,2,0,,depth.n.01;depth.n.02
development,text_only,109,4,4,0,,development.n.01;development.n.02;development.n.04;growth.n.01
difference,text_only,86,2,2,0,,deviation.n.01;difference.n.01
discussion,text_only,49,2,2,0,,discussion.n.01;discussion.n.02
door,text_only,131,2,2,0,,door.n.01;doorway.n.01
dust,text_only,45,2,2,0,,debris.n.01;dust.n.01
earth,text_only,70,3,3,0,,earth.n.01;earth.n.02;land.n.04
education,text_only,43,2,2,0,,education.n.01;education.n.02
effect,text_only,106,2,2,0,,consequence.n.01;effect.n.03
effort,text_only,86,2,2,0,,attempt.n.01;effort.n.02
element,text_only,44,2,2,0,,component.n.01;component.n.03
end,text_only,112,5,5,0,,end.n.01;end.n.02;end.n.03;end.n.05;goal.n.01
evidence,text_only,74,2,2,0,,evidence.n.01;evidence.n.02
example,text_only,56,2,2,0,,example.n.01;model.n.07
experience,text_only,125,3,3,0,,experience.n.01;experience.n.02;experience.n.03
experiment,text_only,71,2,2,0,,experiment.n.01;experiment.n.02
face,text_only,135,2,2,0,,face.n.01;face.n.03
fact,text_only,121,3,3,0,,fact.n.01;fact.n.02;fact.n.03
family,text_only,126,3,3,0,,class.n.01;family.n.01;family.n.02
feeling,text_only,89,3,3,0,,feeling.n.01;impression.n.01;spirit.n.02
field,text_only,93,7,7,0,,discipline.n.01;field.n.01;field.n.03;field.n.05;field.n.06;playing_field.n.02;sphere.n.01
figure,text_only,159,7,7,0,,digit.n.01;figure.n.01;figure.n.04;figure.n.06;figure.n.07;human_body.n.01;name.n.04
film,text_only,54,2,2,0,,film.n.02;movie.n.01
floor,text_only,52,2,2,0,,floor.n.01;floor.n.02
foot,text_only,141,2,2,0,,foot.n.01;foot.n.02
force,text_only,74,4,4,0,,force.n.01;force.n.02;force.n.03;force.n.04
form,text_only,209,4,4,0,,form.n.01;form.n.03;kind.n.01;shape.n.01
function,text_only,67,2,2,0,,function.n.01;function.n.02
game,text_only,76,3,3,0,,game.n.01;game.n.02;game.n.03
girl,text_only,141,3,3,0,,daughter.n.01;female_child.n.01;girl.n.01
god,text_only,105,2,2,0,,deity.n.01;god.n.01
ground,text_only,49,2,2,0,,land.n.04;reason.n.01
growth,text_only,56,2,2,0,,growth.n.01;growth.n.02
head,text_only,161,2,2,0,,head.n.01;head.n.02
heart,text_only,60,3,3,0,,heart.n.01;heart.n.02;heart.n.03
history,text_only,99,4,4,0,,history.n.01;history.n.02;history.n.03;history.n.04
home,text_only,101,3,3,0,,dwelling.n.01;home.n.01;home.n.03
hope,text_only,45,3,3,0,,hope.n.01;hope.n.02;promise.n.02
hour,text_only,110,2,2,0,,hour.n.01;hour.n.02
image,text_only,46,3,3,0,,image.n.01;persona.n.02;picture.n.01
increase,text_only,70,2,2,0,,addition.n.03;increase.n.02
individual,text_only,62,2,2,0,,individual.n.02;person.n.01
industry,text_only,71,2,2,0,,industry.n.01;industry.n.02
influence,text_only,44,3,3,0,,influence.n.01;influence.n.02;influence.n.03
information,text_only,144,2,2,0,,information.n.01;information.n.02
intensity,text_only,41,2,2,0,,intensity.n.01;intensity.n.02
interest,text_only,123,4,4,0,,interest.n.01;interest.n.03;interest.n.04;sake.n.01
item,text_only,61,3,3,0,,detail.n.02;item.n.01;item.n.03
job,text_only,107,2,2,0,,job.n.02;occupation.n.01
land,text_only,49,3,3,0,,domain.n.02;land.n.01;land.n.02
law,text_only,82,3,3,0,,law.n.01;law.n.02;law.n.03
level,text_only,106,3,3,0,,degree.n.01;degree.n.02;grade.n.02
life,text_only,210,6,6,0,,animation.n.01;life.n.01;life.n.02;life.n.03;life.n.05;life.n.06
light,text_only,77,4,4,0,,light.n.01;light.n.02;light.n.03;luminosity.n.01
line,text_only,89,8,8,0,,argumentation.n.02;cable.n.02;course.n.02;line.n.02;line.n.03;line.n.04;line.n.05;line.n.06
man,text_only,566,4,4,0,,homo.n.02;man.n.01;man.n.03;serviceman.n.01
manager,text_only,50,2,2,0,,coach.n.01;director.n.01
manner,text_only,45,2,2,0,,manner.n.01;manner.n.02
mass,text_only,45,2,2,0,,mass.n.01;mass.n.04
material,text_only,107,2,2,0,,material.n.01;material.n.02
matter,text_only,56,2,2,0,,matter.n.01;topic.n.02
meaning,text_only,75,2,2,0,,meaning.n.01;meaning.n.02
means,text_only,58,2,2,0,,means.n.01;means.n.02
memory,text_only,44,3,3,0,,memory.n.01;memory.n.02;memory.n.03
mind,text_only,110,3,3,0,,judgment.n.01;mind.n.01;mind.n.02
moment,text_only,106,2,2,0,,moment.n.01;moment.n.02
money,text_only,89,2,2,0,,money.n.01;money.n.02
month,text_only,104,2,2,0,,calendar_month.n.01;month.n.02
mouth,text_only,41,2,2,0,,mouth.n.01;mouth.n.02
music,text_only,60,2,2,0,,music.n.01;music.n.02
nation,text_only,42,2,2,0,,nation.n.02;state.n.04
nature,text_only,49,2,2,0,,nature.n.01;nature.n.03
need,text_only,96,3,3,0,,motivation.n.01;need.n.01;need.n.02
neighborhood,text_only,41,2,2,0,,neighborhood.n.02;vicinity.n.01
new_york,text_only,56,2,2,0,,new_york.n.01;new_york.n.02
number,text_only,191,2,2,0,,number.n.01;number.n.02
office,text_only,86,2,2,0,,agency.n.01;office.n.01
officer,text_only,71,3,3,0,,military_officer.n.01;officeholder.n.01;policeman.n.01
organization,text_only,48,3,3,0,,administration.n.02;arrangement.n.03;organization.n.01
pain,text_only,41,3,3,0,,pain.n.01;pain.n.02;pain.n.03
paper,text_only,62,3,3,0,,composition.n.08;newspaper.n.01;paper.n.01
part,text_only,188,8,8,0,,character.n.04;function.n.03;part.n.01;part.n.02;part.n.03;part.n.04;region.n.01;share.n.01
particle,text_only,51,2,2,0,,atom.n.02;particle.n.02
party,text_only,54,3,3,0,,party.n.01;party.n.02;party.n.03
pattern,text_only,67,4,4,0,,convention.n.02;design.n.04;form.n.03;practice.n.01
payment,text_only,55,2,2,0,,payment.n.01;payment.n.02
people,text_only,276,2,2,0,,citizenry.n.01;people.n.01
performance,text_only,59,3,3,0,,performance.n.01;performance.n.02;performance.n.03
phase,text_only,46,2,2,0,,phase.n.01;phase.n.02
picture,text_only,71,4,4,0,,mental_picture.n.01;painting.n.01;picture.n.01;picture.n.04
place,text_only,129,5,5,0,,place.n.02;place.n.03;place.n.04;stead.n.01;topographic_point.n.01
plan,text_only,62,2,2,0,,design.n.02;plan.n.01
plant,text_only,99,2,2,0,,plant.n.01;plant.n.02
play,text_only,40,2,2,0,,play.n.01;play.n.02
point,text_only,118,5,5,0,,degree.n.02;detail.n.01;point.n.01;point.n.02;point.n.03
policy,text_only,58,2,2,0,,policy.n.01;policy.n.02
position,text_only,76,5,5,0,,position.n.01;position.n.03;position.n.04;position.n.06;status.n.01
possibility,text_only,48,3,3,0,,hypothesis.n.02;possibility.n.01;possibility.n.02
power,text_only,79,3,3,0,,ability.n.02;power.n.01;power.n.02
pressure,text_only,94,2,2,0,,pressure.n.01;pressure.n.02
price,text_only,65,2,2,0,,monetary_value.n.01;price.n.02
problem,text_only,179,3,3,0,,problem.n.01;problem.n.02;trouble.n.01
procedure,text_only,55,2,2,0,,operation.n.07;procedure.n.01
product,text_only,81,3,3,0,,merchandise.n.01;product.n.02;product.n.03
production,text_only,48,2,2,0,,production.n.01;production.n.02
program,text_only,142,2,2,0,,plan.n.01;program.n.02
property,text_only,56,2,2,0,,property.n.01;property.n.02
purpose,text_only,94,2,2,0,,function.n.02;purpose.n.01
quality,text_only,64,3,3,0,,quality.n.01;quality.n.02;quality.n.03
question,text_only,126,3,3,0,,question.n.01;question.n.02;question.n.03
radiation,text_only,46,2,2,0,,radiation.n.01;radiation.n.02
range,text_only,52,2,2,0,,range.n.02;scope.n.01
rate,text_only,107,2,2,0,,rate.n.01;rate.n.02
reaction,text_only,48,2,2,0,,chemical_reaction.n.01;reaction.n.02
reason,text_only,103,2,2,0,,reason.n.01;reason.n.02
record,text_only,49,2,2,0,,phonograph_record.n.01;record.n.01
relationship,text_only,42,3,3,0,,relationship.n.01;relationship.n.02;relationship.n.03
religion,text_only,68,2,2,0,,religion.n.01;religion.n.02
report,text_only,69,3,3,0,,report.n.01;report.n.02;report.n.03
requirement,text_only,48,3,3,0,,necessity.n.02;prerequisite.n.01;requirement.n.01
result,text_only,131,3,3,0,,consequence.n.01;result.n.03;solution.n.02
right,text_only,50,2,2,0,,right.n.01;right.n.02
role,text_only,40,2,2,0,,function.n.02;function.n.03
room,text_only,122,2,2,0,,room.n.01;room.n.02
sale,text_only,47,2,2,0,,sale.n.01;sale.n.02
sample,text_only,61,2,2,0,,sample.n.01;sample_distribution.n.01
school,text_only,137,2,2,0,,school.n.01;school.n.02
season,text_only,54,2,2,0,,season.n.01;season.n.02
section,text_only,95,4,4,0,,section.n.01;section.n.02;section.n.03;section.n.04
sense,text_only,67,3,3,0,,sense.n.01;sense.n.02;sense.n.03
share,text_only,40,2,2,0,,share.n.01;share.n.02
side,text_only,129,5,5,0,,side.n.01;side.n.02;side.n.03;side.n.04;side.n.05
situation,text_only,83,2,2,0,,situation.n.01;situation.n.02
skill,text_only,46,2,2,0,,skill.n.01;skill.n.02
sound,text_only,46,3,3,0,,sound.n.01;sound.n.02;sound.n.03
source,text_only,66,4,4,0,,beginning.n.04;source.n.02;source.n.03;source.n.04
space,text_only,43,3,3,0,,space.n.01;space.n.02;space.n.03
spirit,text_only,48,3,3,0,,spirit.n.01;spirit.n.02;spirit.n.03
stage,text_only,57,3,3,0,,degree.n.02;phase.n.01;stage.n.03
state,text_only,190,4,4,0,,state.n.01;state.n.02;state.n.03;state.n.04
statement,text_only,61,2,2,0,,argument.n.01;statement.n.01
step,text_only,48,2,2,0,,footstep.n.03;measure.n.01
story,text_only,45,2,2,0,,narrative.n.01;story.n.02
strength,text_only,41,2,2,0,,military_capability.n.01;strength.n.01
student,text_only,80,2,2,0,,scholar.n.01;student.n.01
study,text_only,100,2,2,0,,study.n.02;survey.n.01
subject,text_only,42,3,3,0,,discipline.n.01;subject.n.01;subject.n.02
success,text_only,62,3,3,0,,success.n.01;success.n.02;success.n.03
surface,text_only,136,3,3,0,,surface.n.01;surface.n.02;surface.n.03
system,text_only,98,5,5,0,,arrangement.n.03;system.n.01;system.n.02;system.n.03;system.n.04
table,text_only,77,2,2,0,,table.n.01;table.n.02
term,text_only,45,2,2,0,,term.n.01;term.n.02
theory,text_only,63,2,2,0,,hypothesis.n.02;theory.n.01
thing,text_only,264,9,9,0,,matter.n.01;thing.n.01;thing.n.02;thing.n.03;thing.n.04;thing.n.05;thing.n.07;thing.n.08;thing.n.09
thought,text_only,67,3,3,0,,idea.n.01;thinking.n.01;thought.n.03
time,text_only,493,5,5,0,,time.n.01;time.n.02;time.n.03;time.n.04;time.n.05
today,text_only,78,2,2,0,,today.n.01;today.n.02
town,text_only,74,2,2,0,,town.n.01;town.n.02
treatment,text_only,53,2,2,0,,treatment.n.01;treatment.n.02
trouble,text_only,45,3,3,0,,fuss.n.02;trouble.n.01;trouble.n.03
united_states,text_only,100,2,2,0,,united_states.n.01;united_states_government.n.01
use,text_only,105,2,2,0,,function.n.02;use.n.01
value,text_only,130,3,3,0,,value.n.01;value.n.02;value.n.03
view,text_only,45,2,2,0,,position.n.03;view.n.02
voice,text_only,96,2,2,0,,voice.n.01;voice.n.02
volume,text_only,44,3,3,0,,book.n.02;bulk.n.02;volume.n.01
war,text_only,68,2,2,0,,war.n.01;war.n.02
water,text_only,166,2,2,0,,body_of_water.n.01;water.n.01
way,text_only,286,7,7,0,,direction.n.01;manner.n.01;means.n.01;way.n.04;way.n.05;way.n.06;way.n.07
word,text_only,131,2,2,0,,word.n.01;word.n.02
work,text_only,199,4,4,0,,employment.n.02;study.n.02;work.n.01;work.n.02
world,text_only,144,5,5,0,,earth.n.01;populace.n.01;universe.n.01;world.n.02;world.n.03
yard,text_only,46,2,2,0,,yard.n.01;yard.n.02
